Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
148943,B004Q3LBTG,A1WF9S9NAH520S,Musti,2,4,1,1322697600,WASTE of money,I bought this baby brezza four months ago. Used it almost every day. Was working fine until the steam and blend button just stopped working; a short time after that the blend feature... This item is just a BIG waste of money. Try to contact Baby Brezza? Well I don't think their answering machine is of any help..! Very disappointed..!
179185,B0044BRDJC,AZSOVHE7G6JI6,herbaltealover,1,1,1,1326758400,Not Worth a Dollar!! Quarter size cookies!,What a big mistake this was buying these.  They are the size of a quarter each!! Very bland and disappointing. I have had these type of cookies before. I would expect to pay less then a dollar for the whole package at a store. Don't waist your money!
119454,B0005XO85A,A34ZYX6UEGNK8G,D. Cole,0,0,5,1347062400,very nice lime juice.,For the price I think this is a great deal. We buy those little green lime looking ones all the time and this is going to last a while! Very good lime flavor and have no complaints at all about it.
68324,B003EM7J9Q,A25KYV5UDHDKVJ,J. Walker,1,2,1,1339545600,Fire Hazard,The bags catch fire in my microwave and that leaves most un-popped and extremely over-salted.  This product is inferior to other brands I have tried.
151636,B001WRHQRA,A12BFUKCE8U4VA,"""mappie1 """"mappie1""""""",0,0,5,1293580800,Green Mountain Pumpkin Spice K-Cups,These K-cups are a wonderful taste of pumpkin spice!  Excellent coffee choice for the Fall and Winter months.  I've kept myself in stock with them throughout.  Sometimes k-cups don't really taste the way the flavor is to be but these really ring true.  Very worth a try.
86140,B000084E6V,ADSG6OSKSUYY9,puppymom,0,0,5,1324252800,Awesome product for the money,My 7 month old puppy loves this dinosaur chew.  The texture is bumpy and helps massage his teething gums. Great product for the cost.
115154,B000F4F95C,A1M9WP1TIJDIXR,Anne,0,0,5,1290124800,Twinings Darjeeling tea bags,Twinings Darjeeling tea is our favorite tea and buying the bags in large quantities is both convenient and cost efficient.
57575,B004746R2A,A3P84TZX9X1B3X,"""KIMBUYS """"kimbuys""""""",6,6,5,1289433600,HOT COCOA - MUST ADD MILK - NOTINSTANT,The item description is lacking here.  There are 4 packets/servings in each box. So you get 12 totaal servings for the price.  Must add milk (not water).  I tired this as I read a review on hot cocoa in my local paper and this was rated #1.  It does taste really good.  I suggest splurging and make this with 2% or whole milk.  Dont make it with skin or 1% - at this price you want the full effect!
29358,B000PDY3P0,A2BT0W5YWIK981,Dan Hawkins Jr,0,0,4,1331683200,Popcorn Fix,Great tasting popcorn for the popcorn maker....just like getting it from the theater with out the high cost or leaving to get a refill
149647,B000E8WIAS,AG8QJI1HF92EN,samjam801,0,0,5,1343779200,The best stevia I have tried,I have been on the HCG diet two times and have tried a variety of these drops and this flavor is by far the best without an after taste.  Great for coffee.  I don't even miss the cream!  Would HIGHLY recommend.
15410,B0032KB79S,A262GOLOK2475,K. Kornher,0,0,5,1273881600,Great Stuff,This Agave Nectar is great.  I use it to sweeten my tea and other beverages.
36511,B004CLCEDE,A3J9VWHP16PAEU,Meechelios,0,0,1,1335052800,Terrible,I'm pretty tolerant of foods that don't taste good but this was literally the worst food product I have ever bought. probably. It tastes like rubber and it doesn't fill you up at all. I ate it with tomato pasta sauce and it was still gross. Also it gave me diarrhea which is really gross. NOT RECOMMENDED.
29299,B000PDY3P0,AY8ZWZQ6D93C3,Molly Jackson,0,0,5,1337817600,Awesome Popcorn,I love this Popcorn.  We use it at the bar and everybody loves it. A big hit with the customers. No more microwave popcorn for us.  We love it so much I even buy it to use at home.
139987,B000MTA1EY,A2OZV80NBCQX2X,H. Smart,0,4,5,1323993600,Fleshtone,I have not used this Gel Paste yet but I can't wait to try it out. . . . .
181500,B007OSBEV0,#oc-R2YKMI6BFV0RA7,"""Marjorie Crews """"MJC""""""",3,6,2,1347148800,Misrepresented?,This was okay. We feel this was a little misrepresented.  This is not a high grade coffee that would be other Donut Shop coffees. This is more of a Maxwell House line.  For those who prefer the gas station coffees you will like it.
19421,B000Y8Y5F4,A2HNHWLXGQRN2O,Emmett,0,0,5,1330214400,Great transaction,Speedy delivery.  Would definitely do business with again.  Love the chocolate too.  The espresso inside is rich and it's a real espresso liquid unlike those creamy ones that dry out over time.  Good kick of caffeine with you chocolate craving.
24955,B0078Y6OX8,A15B4G97DLZ12S,buddha,0,0,5,1277424000,Van Houtte chocolage rasberry  K-Cup,This coffee has a wonderful aroma.  I usually don't drink coffee with cream and sugar but I like this particular flavor better with a little cream and sugar.
117154,B001SAO8D6,A1RDWKQ7ZVN80V,Consumer,2,2,4,1349481600,Delicious,So hard to find coconut water with pulp.  So much better with pulp. Blows all the other brands out of the water.
174108,B0006MWNP2,A2UIPB4ROKUYL5,"""R&B Johnsonite Rockford Williamson """"Star Review""""""",0,0,4,1309219200,Great food for the boys!,My dogs love this food and I also stay with it because there have been no recalls since I started using it. 4 star due to a little to expensive.
136117,B000MD5TS8,ADIL8KZJ2ZBT4,Linda E. Moore,1,1,5,1312761600,Outstanding!!,Directions for English Speakers:<br /><br />3 Tbsp oil<br /><br />3 Tbsp water<br /><br />1 Packet mix<br /><br />Makes 2 - 4 servings
179801,B008GRONV6,A9TRAUM6WDDM7,Qualitypicks,0,0,5,1328832000,A Great Way to give pills to Dogs,Pill Pockets are a dog owner's answer to giving pills.  Our little dog thinks they are treats and would eat a whole bag full in one sitting if he could!  We use them daily and will continue to order the Greenies Pill Pickets for Tablets from Amazon.  They are a GREAT VALUE and so conveniently shipped right to one's front door!  Thank You Amazon!
118815,B0006NEA0W,A18MU8NY86KZN4,Lori Rinck,0,0,4,1310256000,great busy bone,Three big dogs and spoiled rotten!  This keeps them busy and I get an hour of me time!  Plus I fill the bone back up with PB and freeze it.  Then there is a treat all over again!
146729,B0002PHEXE,AJT4I6QY0V7GK,2beagles=love,2,2,5,1216339200,Delicious vanilla ice cream!,Great product from a great company!  I used this to make ice cream and it has a rich vanilla flavor and fragrance.  The product was delivered in 3 day of my ordering it.  Excellent value too.
80989,B0052MQ942,AZ9HGPJ25KJ8N,amber,0,1,3,1344038400,great concept but gross 5 Minutes after opening them.,They taste great when opened then 5 minutes later stale and stick together. Not as good as the ones in the cereal.
9325,B006N3IG4K,A1WH998KDXZB7A,H. Drum,0,0,3,1292457600,It's okay but I won't buy it again.,I like bold coffees and should have trusted the other reviewer who said it wasn't strong enough. This one has a watery finish to it and not very much flavor.  I'll be going back to Emeril's Jazz'd Up Decaf and trying the Coffee People's French Roast Decaf.  So far I've loved everything by the coffee people except the organic blend.  If you like strong coffee don't buy this but if you like a weaker coffee that you can see through you'd probably enjoy this one.
39890,B000CMIZ0I,A12UC87U5NUT0W,VoraciousBuyer,0,0,5,1303344000,Delicious high-quality tea,This tea is perfect for me - a mild-tasting green tea with no caffeine and Kombucha. Delivery is fast and this tea has never disappointed.
43633,B000P0SCKK,A2WR4VH0HUCBO7,Lainy S,4,4,5,1257897600,addictive,I have been buying Lucky Country Licorice for about a year now. When I quit smoking it helped to have some to chew on. Great flavor and texture. The strawberry is impossible to find in the stores around here so was real excited to find it at amazon.com.
40663,B001EO6EV0,A19KQ23YEPKTUR,J. Darnell,4,4,5,1301529600,Makes Beautiful Red Velvet Cakes,My red velvet cake recipe was costing me about 8 dollars a cake in red food coloring.  Things were getting out of hand fast.  This is saving me a ton of money.  A great way to buy food coloring.<br /><br />The product itself gives a beautiful color and doesn't seem to impart any additional flavor.
80763,B000E1BKJA,AQV9H0MSRGUA,Suzanne M,2,2,5,1225324800,Yummy Dessert!,This is the best dessert ever and so easy to make.  Great for all ages.  Tastes like real peanut butter.
17986,B008ZRKZSM,A12JLDP6YW88X8,J. L.,1,1,5,1313020800,Great price!,This is the best price I've found for PB2 and it's eligible for free shipping and handling.<br />It tastes better than another powdered peanut butter product that I've tried.
145552,B003D4F1QS,A3V8TVMSO5W8KS,"""Sher """"Wiiplayer""""""",0,0,5,1344384000,Love this tea!,I love this tea.  I am trying to drink more tea but I find I do not like tea very much.  This is the only one that I can drink without putting sweetener in it.  Great Minty taste!  Shipping was nice and quick as well.
182940,B004TMGUMW,A1Z67Y8DWIGZXV,Health Junky,0,0,5,1340064000,Dog love it,My Saint has a sensitive stomach and this food is great.  No intestinal problems and solid.  Both of my dogs seem to really like it and the price is right on Amazon!
119778,B003P5YNDC,AWSHZBRRDLVM8,T.S. Bredthauer,0,0,5,1280188800,Best Drink! All the kids and teenagers love it!,This is fabulous! All the kids love it! Much healthier than soda. Snapple...Please make it a permanent flavor!!!
9941,B001CGTN1I,AQINS0OC4NQZC,R. Newton,5,7,5,1257724800,WOW!,Love this stuff! I make my own granola and add it in. Will definitely buy again.
105915,B001GKV8DQ,A1TTDQGTAPHFV9,Susan E. Loonsk,0,0,5,1327708800,Ceylon Cinnamon,Ceylon Cinnamon from Indus Organic is the real thing !<br />It is the true cinnamon that is healthy  for you as it lacks Cassia . Cassia which has a stonger flavor is not good to ingest regularly or in larger quantities.<br /><br />Ceylon Cinnnamon from Indus Organics has a lovely true cinnamon flavor in addition to its health benefits of lowering blood sugar. This true cinamon is hard to find here in the U.S.  and I searched quite awhile until I found Indus Organic.<br /><br />Its a quality product and I highly recommend it . I put a tablespoon in my whey protein drink every day ! Delicious !
65241,B00063KNX0,A1GFFB4HTO6UOU,"""Martha & Mary """"MM""""""",0,0,5,1264809600,My dog just loves this.,my dog is a picky eater but he considers the Nylabone dental chews as a treat worth asking for every night.
13214,B0049LUEKC,A20C1E3XNPCE5A,"""Ron B """"reb52""""""",0,1,1,1342483200,I did not like this,When I bought this I was hoping it would be like peanut butter but almond flavor.  Its not close.  I suppose if you can't eat peanuts this might be an alternative but I would look at other nut butters.
137299,B001P05K7W,A1KZEMDS3TAQMP,lm in pa,0,0,5,1222732800,Greyhounds love these,I will be purchasing more of these. My hounds LOVE them. These are not messy like the rawhide.
171255,7310172001,A31NOOFT502ZH9,Len37,0,0,5,1336867200,excellent,i always try to feed healthy snacks. My dog does not always like them as much as less healthy snacks.<br />This is the snack that we meet in the middle about.... actually she likes this the best of all her snacks!!!
17822,B0052W6YZ6,AHUQUUXJ2CDFD,Jacqster,1,1,5,1322524800,Eat as much garlic as you like!,I had garlic prawns for lunch and had to go to a meeting afterwards. My girlfriend offered me some Eatwhatever and I have been hooked ever since. This stuff is amazing. Completely gets rid of that really smelly breath that even brushing your teeth can't fix. I am now addicted.
34267,B001P3NU30,A36FSP3IE33RVM,"""C. Virgo """"Craig""""""",0,0,5,1244678400,Good Chews,Fast Delivery and I have been regularly buying this product for My German Shepherd. She Loves 'em
29235,B000PDY3P0,A2KA2SXMBH47WI,inthfort,0,0,5,1343260800,good stuff,love this popcorn... works great with my poper. would be nice if came in larger packages and cheaper with the more you buy but over all good product
137760,B000CQE3HS,A21VNZ2V2RJSH6,osocrates,1,1,1,1334016000,Poor Shelf Life!,Don't buy these for your BoB. I just got mine and they expire in July. I assumed they had enough salt to draw in deer but apparently they've discovered a new process for rendering salt useless in preservation.
52602,B004X8MZHQ,A27LH97C9Q09BN,Kimmer,0,0,3,1329177600,Not the original,This tea is ok but it's not nearly as potent as the original product that was available 5-10? Years ago.
156598,B0029NIIKK,A1XN3BA0CHB24L,Patty G,1,1,5,1334534400,cats love it,Both my cats absolutely love this food. My one cat is getting up in age. And is having trouble keeping hard food to stay down. She really likes this stuff. And it has no problem in digesting. :)
122810,B000LVQK0W,A1IE986HWB9MJM,"""Traveling Lady """"Anonymous""""""",0,0,1,1344988800,Made These Yesterday,I followed the directions to a T and the consistency was much too thick to fry as a pancake.  I ended up putting in more water and the end result was the most awful latkes I ever had.
72455,B001J8RW94,A33HORKZ8O0OA4,J. Riley,1,1,5,1287187200,good food,he eats it and has good protein less filler and reasonably priced for a premium food
175642,B001EQ4DG6,AKAG7S746ID1E,AnonReader,0,0,3,1282262400,Convenient but Extremely weak,I'm surprised at the high ratings of this tea. Maybe the people rating it don't really like tea? This stuff tastes like water with a little tea added. I tried using 2 bags per serving which helped but it was still too weak. I LOVE tea and to get a really good tea taste I'm afraid I would have to double the strength with these. I'm giving it an extra star for convenience.
182175,B000Z96B86,A1UOV1B1MEBHJV,"""Maria """"Tea""""""",10,11,2,1197331200,Bigelow Tea Chest,The is a very basic tea chest.  The Bigelow website offers many more and the quality is much better for similiar prices.  This particular tea chest can also be found at BJ's Wholesale Club for $19.99.
66036,B0007A0AQW,A367PCCD424UY0,D. Dutcher,0,0,5,1290729600,best training treats around,our dogs absolutely love these treats! They are nice and small so it is okay to give them several during a training session.
130561,B00170216I,A3TEV68TMKIVPE,"""J Leigh """"grandma of 5""""""",0,0,5,1257724800,soooo delightful,These wafers are soooo good. They are crisp and filled with chocolate. They make a dessert by themselves and are especially good with a cup of flavored coffee.
67683,B007OXJK3Y,A3PREEG9PEQ1EK,Daddyof5,3,4,1,1310256000,yuck,This coffee has a yucky cardboard flavor to it.  There are 4 coffee drinkers in our house and none of us like it.
576,B000G6RYNE,AX7K82LNPVATT,Marc2912,2,2,5,1222992000,Good chips,I bought these when on sale through Amazon.  Nice crispy thick chips.  Definitely a great buy if you can catch them on sale.
167506,B000FTU5M4,A20S7XV2JK0UXL,Gregory C. Ward,0,3,3,1322179200,Different...,If you enjoy different foods-regular salt in a regular shaker-this isn't for you! If you like to spice things ud differently- it may be.
62380,B000CQG8KS,A11WJXVIIPADZR,"""Cyberwiz """"Cyberwiz""""""",1,1,5,1278633600,Search Ended,It's hard to find this peach flavored black tea in the market. I was glad to find it online and at a good price.
40307,B005Q1812W,A3N5TG9V3YM37I,leafyliz,0,0,5,1350086400,Best kale chips ever,These are so tasty and addictive! I wish I could buy 10 lb. bags. They have a yummy cheesy flavor due to the combination of pureed cashews/red bell pepper. So delicious - you can't go wrong with these as a savory snack. Use them to convert your friends to the world of kale chips! Then try making your own.
134869,B001EO7LQ2,A2ECJ4S6S33EFH,Miss K,1,1,5,1258416000,You'll Get RAVE reviews.............,"""If you want the BEST and EASIEST and most DELIGHTFUL/Delicious Dip - please try this product.  You simply mix 1 cup mayo & 1 cup of sour cream with the contents of the package - add your favorite chips and you will receive """"rave"""" reviews every time.  This dip is always the hit of the party - I had been purchasing this item  from a store in my home town but they just could not keep it in stock........ it simply """"flew out the door""""  so Amazon and one-click to the rescue.  ENJOY!"""
20916,B001V6XW2U,A36P3YDW7AOBVC,blondie251966,2,2,5,1294444800,THE ABSOLUTE BEST,This is the original wing sauce from Buffalo and it does not get any better.  The best part is that you can avoid deep frying(even though instructions say to do this)...just put 2 lbs. of wings on a cookie sheet sprayed with PAM-bake for 20 minutes at 425-turn over and finish for 15 more.  Toss with 1/2 cup sauce and you're done!!!!
134445,B003E728CE,A1C132A46JK1Y6,"""J. Keith """"Dog Lover""""""",0,0,5,1266192000,Best way to give pills!!,My dog loves Pill Pockets! They make giving medication so easy. Just wrap it around the pill and your dog will take it and beg for more. They must taste great!
36842,B004LQRQL0,A2PGQCZ479289V,Whalley,0,0,5,1330214400,Too Good,Very good.  Too good.  It is hard to only eat a single serving.  Going to need to bag this up into serving size portions to avoid eating the entire bag.
181598,B0049YMC0Y,A159078TTHX926,Bev,0,0,5,1346371200,Quality and fast service,The graham flour arrived very quickly and is very high quality and very reasonably priced.  I consider this a great find.
146177,B003AP2GKY,ACOC51J3I734,loraine hirschfeld,1,1,4,1309824000,Good coffee half the caffeine,Good cup of coffee and less caffeine.<br />finally found one that I like and my guests like as well.<br />The price was also very good.
44431,B000LDQWHG,A3TEKZ7ULGL6CS,Betty Sperry,0,0,5,1246665600,Best Product for your Dogs,Our two 65 pound Dogs just love this treat on their bouncy bones. Wonderful when you have to leave them and they need something to keep them busy. They just love them and we have used them for over two years now. Our daughter is using the product for her new boxer mix.
64394,B0025UCIGC,A2NBQ9E181AC8O,Alan Duquette,0,0,4,1334188800,expensive but  good,Yummy.  This bread is good when warmed and butter added.  Difficult to find at stores because it is not in the bread isle. Don't ask me why.  So where do you find it?  I still can't say which explains why I bought it online at this high price.  Goes good with beans which explains why it is made by a bean maker.  Although the beans can be made from scratch of course.
53080,B006YVWW2S,A35FBTN1J2CYRR,"""C. Barnes """"Realtor""""""",0,0,3,1348099200,DOG DID NOT LIKE THESE TREATS!,"""Some dogs may like these chicken meatballs.....but my """"pickie"""" Morkie said """"NO WAY""""!  I could not get her to even eat one of them!  Maybe I can try to disguise them by putting them in some chicken broth or something...but that's allot of trouble for me and still no guarantee she will eat them. Giving them to someone else who has a dog who will appreciate them is probably the way to go! Sorry...for some they may be good...for others they may not."""
161525,B000BLLWCS,AWJ3F3JH7GK3,"""E_Loner """"just my opinion""""""",0,0,5,1246406400,Dog Proof,The title is what it is. My dogs prove that this is a five star product. They would eat them all day if they were able.
137267,B000KSTYBS,A1L039YS3P3JWR,R. Reed,1,2,5,1274054400,Itialian Roast/Espresso,This coffee is exceptional.  Espresso dark and deep yet smooth.  My only other comment is that this should properly be called an Italian roast as this is clearly beyond a French Roast.
81377,B002DHSECY,ATP446DK6U63P,"""Michele """"Vacation Mom""""""",0,0,5,1346889600,cook mama,Nice to have these cinnamon oat cereal.  My kids love them and they are a healthy breakfast.  I give them at their lunch for an extra  treat.  Love the taste.
26562,B000YSS7EO,A1AE89N198J2OC,Britt23,0,0,5,1286236800,The Little One Loves This,Our 6 month old absolutely loves this multi-grain cereal. I would recommend it to anyone and everyone!
105622,B007TI4EX0,A77IPE9OM47NF,Nikki Jordan,0,0,5,1350864000,LIFESAVER,Baby had horrible colic and there was IMMEDIATE improvement once changing to nutramigen. Always received in timely fashion. The size is perfect and no heating/mixing needed worth the cost. Tried the powder first but not effective like the ready feed. WORTH EVERY PENNY!
28893,B002MLEXYO,A200G2ZHFQEQE6,sha123,3,3,5,1290297600,Great tasting,This is a great cereal.  I could not find it for over a year.  I was on Amazon and just happen to search for the item and they had it.  I am so happy I can still buy this product.
141289,B000Z3IQ0S,A1LWNCVBB63WE4,DiscreetInvestigationInc,0,0,5,1331856000,Love Love Love,The picky beagle absolutely loves these treats. I give them to her crumbled on her breakfast as well as individual treats throughout the day. I'm happy I found something she will eat daily and not get bored with.
125983,B001VNO71S,AJ361H5SBYC4L,foodshopper,0,0,5,1327449600,amazing flavor,Always thought all spices were created equally. Not true. Bought this after finding out that this is what cinnabon uses. What a difference! Such an intense flavor. Will never use anything else
59586,B003UHKYJC,AS1BFHMAGHAGI,"""David """"Dave""""""",0,0,2,1342569600,Not worth it,I'll give it two stars because it was edible. But these really pale in quality to things I can get at the grocery store or homemade. I would not buy this again. Kind of dry and not much flavor. Kodiak mix is better for waffles.
156763,B0026YDP8C,A3D64I003TL8SJ,"""Joseph M. Blumenthal """"JMB""""""",7,19,1,1243123200,Not what is listed!,I ordered coffee PODS - received coffee SINGLES (looks like a tea bag)- not what I wanted or thought I was getting.
136899,B0026QM75M,A1N06VT1559F69,Bildo138,4,5,5,1336176000,yummy,these chips are so good. i found that these chips are hard to come by here in afghanistan but this company was able to mail these here to me. awesome.
74061,B004JRKEH4,AF3X7J0XC391L,"""Stratiotes Doxha Theon """"2 Thes 2:15""""""",0,0,3,1312761600,Lacks expected heat and ends up unexciting,Not a bad sauce but there does seem to be something I cannot quite pinpoint that seems to be missing in spice.  It is unexpectedly mild for a chipotle-based condiment giving the impression that it is a bit dull.  Spice is a matter of taste perhaps but I suspect this will be less than most would expect.  It may solve the problem of disguising leftovers once in a while but it is certainly nothing to get excited about.
30751,B007M83302,A1LTNRGWZFY4C9,GROUCHHUNTER,1,1,5,1253232000,LOVE THE POPCHIPS!,I am totally addicted to the POPCHIPS!  They are very good and don't taste greasy at all.  One bag has a lot of chips in them and can be filling.  They are only 100 calories and around 3 grams of fat and they don't taste like you are eating something healthy for you.  I love Cheetos and can't have them anymore and now love these chips.  The flavoring is not very strong but strong enough.
146763,B004IN6GVM,A5PFLD64SYXYK,Bruce F,0,0,5,1351209600,The BEST dog candy,This brand of dog treats is by FAR the most loved product of its kind my two miniature schnauzers have ever had for snacks. I have been feeding it to them for many years.  We  have tried other things but my babies always prefer the Purina TBonz!
25935,B0047LWV9G,A1QNPQD5L0RB37,Aphelion,0,0,5,1333497600,Ivory Jordan Almonds,These were great almonds. I am using them for my wedding favors and they are an elegant treat. Great flavor & fresh!
19974,B001G0NKVO,A3CKOV3WEYEQDJ,"""G. Dalton """"Eddie2358""""""",0,0,4,1349740800,Kitties eat it every time,I usually buy avoderm but this food is an excellent way for me to stretch out the case. I feed the kids this and they eat it all.... No leftovers!
7819,B000HB9TLI,AK4TO5TQ7OG12,Dena Yer Moua,1,1,2,1330473600,didn't like its taste,I tried many teas and thought would try this kind. Saw it on Dr. OZ show. Didn't like its taste.
30875,B007M83302,ATGKNPXJIBE42,Carol Sausen,0,0,4,1328140800,Great Flavor,This flavor is very good and unexpected.  The flavor of the cheese and garlic go well together and they are very crispy and satisfying.
167425,B007PE7ANY,A2ELQ3CCPVVE40,Shoelover,0,0,4,1348876800,nice to get a free sample...,"""The bar has very good flavor.  You can tell it is not full of preservatives. The only draw back for me as a """"calorie watcher"""" is it has 200 calories but I know the ingredients are pure and healthy."""
78989,B001E5E34E,A22R24C6JEWD13,merrill banks,0,0,5,1307577600,"""GREAT """"T"""" ANYTIME""",The Brits have something that AMERICA NEEDS AND WANTS!<br />  and we purchased it at AMAZON. COM
74832,B0026RQTGE,A8NX9GKEUAG8U,S. Kim,0,0,5,1333324800,Dog goes crazy over these!,My dog has been loving these chews for years! I give him one everyday and it has done a great job at keeping plaque and tartar build up at bay.
152152,B001EO5XNU,A2RZ5XF96SE42S,paj,1,1,5,1336435200,Wunderbar,Carob molasses is the best additive if you are trying to get the chocolate taste without the chocolate.  I love this stuff!
51153,B000FIXT2I,AMODLIN9FXNWN,Healthnut,0,0,5,1329523200,Tasty Brown rice,This is the best tasting quick brown rice I have ever tried. It is worth every penny. The flavor is nutty and the rice has a great consistency. You won't be dissapointed.
57959,B000AYDHTM,A2AE9ZOV1WZCBA,Gale Edlund,0,0,5,1210982400,carr's cookies,Originally discovered these cookies at Costco. Costco discontinued carrying them. I was pleased to see that I could find these on Amazon and at such a great price. Without the shipping chage this was an excellent value. I have many of these fine cookies to enjoy for the months ahead.
179619,B000AYFATW,AJZ4YEAAPCGIY,"""CoolBodBoy """"coolbodboy""""""",1,1,5,1317513600,Excellent Taste!,The cookies have an excellent taste and texture. I took them to a friend's house and they had no idea the were sugar free until I told them. I snack on them at work and willl be trying other varieties by Murray.
117162,B002AU4V94,A1A3NLJO4O3YIG,K. Allen,3,3,5,1249084800,yeah!,Finally a cookie that taste great!  If you have eaten any gluten free cookies before you know they are bland.  These cookies are AWESOME.  The best part is I dont have to worry about my multiple food allergies.  I would recommend them to anyone who loves cookies like me!
